track_name	album_name	artist_name	genres	release_date	duration_ms	popularity	explicit	is_playable
Berlin	Berlin	Khoi Vu	['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie']	2020-02-12	138973.0	43.0	False	True
Ái Nộ	Ái Nộ	Masew	['v-pop', 'vietnamese hip hop', 'vinahouse', 'vietnamese lo-fi', 'vietnam indie']	2021-10-05	232180.0	32.0	False	True
Solo (feat. Demi Lovato)	What Is Love? (Deluxe Edition)	Clean Bandit	[]	2018-11-30	222706.0	67.0	False	True
Next Level	Next Level	aespa	['k-pop']	2021-05-17	221573.0	66.0	False	True
WANNABE	IT'z ME	ITZY	['k-pop']	2020-03-09	191242.0	64.0	False	True
Victorious		K-ICM						
Trăng Hoa Mây Mưa	Trăng Hoa Mây Mưa	Bình Gold	['vietnamese hip hop', 'v-pop', 'vinahouse']	2024-01-13	193999.0	44.0	True	True
是你	是你	梦然	['mandopop', 'c-pop']	2022-07-25	223029.0	58.0	False	True
Standing Next to You - Sped Up - Remix		Beat Record						
SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)	SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)	DJ Snake	[]	2021-10-22	225600.0	63.0	True	True
Có Khi (feat. Low G)	Có Khi (feat. Low G)	Madihu	['v-pop', 'vietnam indie', 'vietnamese hip hop']	2022-10-13	259333.0	41.0	False	True
Hẹn Kiếp Tương Phùng		K-ICM						
Goodbyes (feat. Young Thug)	Hollywood's Bleeding	Post Malone	[]	2019-09-06	174853.0	71.0	True	True
New Woman (feat. ROSALÍA)	New Woman (feat. ROSALÍA)	LISA	['k-pop']	2024-08-15	179789.0	77.0	False	True
Love Hangover (feat. Dominic Fike)	Love Hangover (feat. Dominic Fike)	JENNIE	['k-pop']	2025-01-31	180129.0	82.0	True	True
Suit & Tie	99%	RPT MCK	['vietnamese hip hop', 'v-pop', 'vietnam indie']	2023-03-02	238330.0	41.0	True	True
Savage Love (Laxed - Sired Beat)		Jawsh 685						
Promise	Promise	Jimin	['k-pop']	2018-12-31	151011.0	63.0	False	True
Ngày ấy (Yesterday)	Ngày ấy (Yesterday)	Em Ellata	['v-pop', 'vietnam indie']	2022-08-13	240000.0	43.0	False	True
There's Nothing Holdin' Me Back	Illuminate (Deluxe)	Shawn Mendes	['pop']	2017-04-20	199440.0	82.0	False	True
Blood Sweat & Tears	Wings	BTS	['k-pop']	2016-10-10	217051.0	68.0	False	True
Eastside (with Halsey & Khalid)	FRIENDS KEEP SECRETS	benny blanco	[]	2018-12-07	170769.0	75.0	False	True
no tears left to cry	Sweetener	Ariana Grande	['pop']	2018-08-17	205920.0	73.0	False	True
NÀNG (feat. Ogenus, Anh Tú & Đặng Thái Bình)	Rap Việt Mùa 3 - Vòng 1	RAP VIỆT	['vietnamese hip hop', 'v-pop']	2023-07-21	205128.0	34.0	False	True
Be Kind (with Halsey)	Be Kind (with Halsey)	Marshmello	['edm']	2020-05-01	172761.0	68.0	False	True
You Never Know	THE ALBUM	BLACKPINK	['k-pop']	2020-10-02	229201.0	54.0	False	True
Rain On Me (with Ariana Grande)	Chromatica	Lady Gaga	['art pop', 'pop']	2020-05-29	182200.0	68.0	False	True
Somebody	GOLDEN	Jung Kook	['k-pop']	2023-11-03	168599.0	68.0	False	True
Tết Này Con Sẽ Về	Tết Này Con Sẽ Về	Bùi Công Nam	['v-pop', 'vietnam indie', 'vietnamese hip hop']	2022-01-10	196555.0	46.0	False	True
Tệ Thật, Anh Nhớ Em	Tệ Thật, Anh Nhớ Em	Thanh Hưng	['v-pop', 'vietnamese lo-fi', 'vinahouse']	2022-04-03	344357.0	42.0	False	True
Talk	Talk	Khalid	[]	2019-02-07	197487.0	58.0	False	True
11:11	11:11	MiiNa	['v-pop', 'vietnamese lo-fi']	2023-02-22	251739.0	37.0	False	True
Die For You (with Ariana Grande) - Remix	Starboy (Deluxe)	The Weeknd	[]	2023-03-14	232857.0	72.0	False	True
FOREVER	DRIP	BABYMONSTER	['k-pop']	2024-11-01	212734.0	69.0	False	True
Yếu Đuối	Tình Ca Hoàng Dũng	Hoàng Dũng	['v-pop', 'vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop']	2019-03-06	323369.0	45.0	False	True
Phong Long	Phong Long	Low G	['vietnamese hip hop', 'v-pop', 'vietnam indie']	2024-01-20	281379.0	44.0	False	True
I’ll Be There	Happy	Jin	['k-pop']	2024-11-15	181677.0	68.0	False	True
Beggin'	Chosen	Måneskin	[]	2017-12-08	211560.0	79.0	False	True
Sunroof	Good Times Go	Nicky Youre	[]	2023-06-09	163025.0	78.0	False	True
vào hạ	Hương Mùa Hè EP.01	SUNI	['v-pop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']	2022-07-03	196666.0	36.0	False	True
Một Khi Đã Yêu		K-ICM						
Darkside	Different World	Alan Walker	[]	2018-12-14	211680.0	68.0	False	True
Giấc Mơ Của Em - Suy Version	Giấc Mơ Của Em (Suy Version)	MYLINA	['v-pop']	2023-09-21	190500.0	42.0	False	True
Too Sad to Dance	GOLDEN	Jung Kook	['k-pop']	2023-11-03	175911.0	67.0	False	True
LOVE SCENARIO	Return	iKON	['k-pop']	2018-01-25	209648.0	64.0	False	True
The Right Journey (feat. Gducky)	Rap Việt Tập 15	RAP VIỆT	['vietnamese hip hop', 'v-pop']	2020-11-08	192857.0	30.0	False	True
WOKE UP	WOKE UP	XG	['k-pop']	2024-05-21	188010.0	67.0	False	True
Suýt Nữa Thì...	Suýt Nữa Thì...	Andiez	['v-pop', 'vietnamese lo-fi', 'vietnam indie']	2018-08-13	281344.0	54.0	False	True
Ánh Mắt Biết Cười	Ánh Mắt Biết Cười	Quang Hùng MasterD	['v-pop', 'vietnamese lo-fi', 'vinahouse', 'vietnamese hip hop']	2025-01-26	167796.0	58.0	False	True
Từ A Đến Z (feat. 24k.Right)	Rap Việt Mùa 3 (2023) - Tập 14	RAP VIỆT	['vietnamese hip hop', 'v-pop']	2023-08-27	197601.0	36.0	False	True
Năm Qua Đã Làm Gì	Gala Nhạc Việt 15 - Năm Mới Bình An	Noo Phước Thịnh	['v-pop', 'vinahouse', 'vietnamese lo-fi']	2021-02-19	236975.0	29.0	False	True
Beautiful (feat. Camila Cabello)	Beautiful (feat. Camila Cabello)	Bazzi	[]	2018-08-02	180000.0	66.0	False	True
MẸ YÊU CON	Anh Trai Vượt Ngàn Chông Gai 2024 - Chung Kết	Cường Seven	['v-pop']	2024-10-19	305142.0	48.0	False	True
Anh Đợi Em Được Không	Anh Đợi Em Được Không	Mỹ Tâm	['v-pop', 'vietnamese bolero', 'vietnam indie']	2019-09-24	276790.0	32.0	False	True
Xuân Hy Vọng		K-ICM						
in the dark	in the dark	fueled by boba	['v-pop', 'vietnam indie']	2020-02-20	194577.0	41.0	False	True
Buông	Xin Em, Vol. 01	Bùi Anh Tuấn	['v-pop', 'vietnamese lo-fi']	2016-09-15	233240.0	43.0	False	True
In My Blood	Shawn Mendes	Shawn Mendes	['pop']	2018-05-25	211360.0	67.0	False	True
So Far Away (feat. Jamie Scott & Romy Dya)	So Far Away (feat. Jamie Scott & Romy Dya)	Martin Garrix	['edm', 'electronica', 'progressive house']	2017-12-01	183636.0	59.0	False	True
시작	ITAEWON CLASS (Original Television Soundtrack) Pt.2	Gaho	['soundtrack']	2020-02-01	202440.0	59.0	False	True
Savage	Savage - The 1st Mini Album	aespa	['k-pop']	2021-10-05	238143.0	67.0	False	True
Mistletoe	Under The Mistletoe (Deluxe Edition)	Justin Bieber	[]	2011-01-01	182946.0	70.0	False	True
Cơn Mưa Xa Dần	SKY DECADE	Sơn Tùng M-TP	['v-pop', 'vinahouse', 'vietnamese hip hop']	2022-10-06	196923.0	41.0	False	True
Dear (feat. Lê Hiếu)	Dear (feat. Lê Hiếu)	Gonzo	['vietnamese hip hop', 'v-pop', 'vietnam indie']	2023-02-16	260489.0	31.0	False	True
Outro : Ego	MAP OF THE SOUL : 7	BTS	['k-pop']	2020-02-21	196198.0	57.0	False	True
TRÌNH (Live at GENfest 24)	HIEUTHUHAI (Live at GENfest 24)	HIEUTHUHAI	['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']	2025-02-24	282790.0	0.0	True	True
Nói Chia Tay Thật Khó (feat. Trấn Thành)	Nói Chia Tay Thật Khó	Thùy Chi	['v-pop', 'vinahouse', 'vietnam indie', 'vietnamese hip hop']	2020-10-20	331084.0	25.0	False	True
Shot Glass of Tears	GOLDEN	Jung Kook	['k-pop']	2023-11-03	167246.0	67.0	False	True
Sự Mập Mờ	Sự Mập Mờ	SUNI	['v-pop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']	2023-07-09	229384.0	40.0	False	True
You & Me (Coachella ver.)	JENNIE Special Single [You & Me]	JENNIE	['k-pop']	2023-10-06	179864.0	58.0	False	True
Holy (feat. Chance The Rapper)	Holy	Justin Bieber	[]	2020-09-18	212093.0	64.0	False	True
Nothin' on Me	Nothin' on Me	Leah Marie Perez	[]	2020-10-21	217500.0	53.0	True	True
